*Frequency ;VOUTLOWPOWER-abs;VOUTLOWPOWER-phase (deg)
2920.636346;6.90E-08;1.53E-05
2957.164102;6.80E-08;1.54E-05
2994.148703;6.70E-08;1.55E-05
3031.595862;6.60E-08;1.56E-05
3069.511364;6.51E-08;1.58E-05
3107.901067;6.41E-08;1.59E-05
3146.770902;6.32E-08;1.60E-05
3186.126873;6.23E-08;1.62E-05
3225.975061;6.14E-08;1.63E-05
3266.321621;6.05E-08;1.65E-05
3307.172787;5.96E-08;1.66E-05
3348.534869;5.88E-08;1.68E-05
3390.414257;5.79E-08;1.69E-05
3432.817422;5.71E-08;1.71E-05
3475.750914;5.63E-08;1.72E-05
3519.221366;5.54E-08;1.74E-05
3563.235493;5.47E-08;1.76E-05
3607.800095;5.39E-08;1.77E-05
3652.922057;5.31E-08;1.79E-05
3698.608349;5.23E-08;1.81E-05
3744.86603;5.16E-08;1.82E-05
3791.702245;5.09E-08;1.84E-05
3839.124231;5.01E-08;1.86E-05
3887.139313;4.94E-08;1.88E-05
3935.754909;4.87E-08;1.90E-05
3984.978529;4.81E-08;1.91E-05
4034.817779;4.74E-08;1.93E-05
4085.280357;4.67E-08;1.95E-05
4136.374059;4.61E-08;1.97E-05
4188.106779;4.54E-08;1.99E-05
4240.486509;4.48E-08;2.01E-05
4293.52134;4.42E-08;2.03E-05
4347.219467;4.36E-08;2.06E-05
4401.589184;4.30E-08;2.08E-05
4456.638891;4.24E-08;2.10E-05
4512.377093;4.18E-08;2.12E-05
4568.8124;4.12E-08;2.14E-05
4625.953531;4.07E-08;2.17E-05
4683.809314;4.01E-08;2.19E-05
4742.388686;3.96E-08;2.21E-05
4801.700698;3.90E-08;2.24E-05
4861.754512;3.85E-08;2.26E-05
4922.559406;3.80E-08;2.29E-05
4984.124773;3.75E-08;2.31E-05
5046.460125;3.70E-08;2.34E-05
5109.575091;3.65E-08;2.36E-05
5173.479422;3.60E-08;2.39E-05
5238.18299;3.55E-08;2.42E-05
5303.695792;3.50E-08;2.44E-05
5370.027948;3.46E-08;2.47E-05
5437.189706;3.41E-08;2.50E-05
