*Frequency 	VF1-abs	VF1-phase (deg)	VOUTLOWNOISE-abs	VOUTLOWNOISE-phase (deg)	VOUTLOWPOWER-abs	VOUTLOWPOWER-phase (deg)
2,8056211108005	1,15242606340061E-7	6,60290614183718E-6	1,83198950797697E-7	5,46417417199519E-6	9,536767751123E-8	9,239110141198E-6
2,84071039658191	1,14770015428688E-7	6,57582874303631E-6	1,84461281223678E-7	5,43142719183983E-6	9,47961362026849E-8	9,29529795696227E-6
2,87623853633826	1,14301344324309E-7	6,54897593288059E-6	1,85720325625899E-7	5,39888976113881E-6	9,42282522214472E-8	9,35117097467467E-6
2,91221101871963	1,13836568588389E-7	6,52234631192499E-6	1,86976216154059E-7	5,36656061924446E-6	9,36640035650911E-8	9,40673508747513E-6
2,94863340102145	1,13375663895927E-7	6,49593848490291E-6	1,88229082085118E-7	5,33443851348198E-6	9,31033683706549E-8	9,46199602296638E-6
2,98551131004301	1,12918606006973E-7	6,46975106375104E-6	1,89479049949754E-7	5,30252219910088E-6	9,25463249131689E-8	9,51695934993272E-6
3,02285044295673	1,12465370784307E-7	6,44378266551446E-6	1,90726243652324E-7	5,27081043922543E-6	9,19928516049536E-8	9,57163048471708E-6
3,06065656818834	1,12015934188076E-7	6,41803191281727E-6	1,91970784585011E-7	5,23930200480359E-6	9,14429269959467E-8	9,62601469727751E-6
3,09893552630798	1,11570272275058E-7	6,39249743382036E-6	1,93212791736298E-7	5,20799567456185E-6	9,08965297707708E-8	9,68011711694263E-6
3,13769323093253	1,11128361197941E-7	6,36717786218013E-6	1,94452381794162E-7	5,1768902349558E-6	9,03536387485026E-8	9,73394273788423E-6
3,17693566963915	1,10690177204622E-7	6,34207183700811E-6	1,95689669244313E-7	5,14598448011804E-6	8,98142328840135E-8	9,78749642432383E-6
3,21666890489033	1,10255696637513E-7	6,31717800283154E-6	1,96924766463759E-7	5,11527721181626E-6	8,92782912637753E-8	9,84078291548896E-6
3,25689907497045	1,09824895930475E-7	6,29249500979116E-6	1,98157783809951E-7	5,08476723940198E-6	8,87457931070783E-8	9,89380683033379E-6
3,29763239493405	1,0939775161774E-7	6,26802151265651E-6	1,99388829705872E-7	5,05445337976265E-6	8,82167177654733E-8	9,9465726720377E-6
3,33887515756598	1,08974240316506E-7	6,2437561724453E-6	2,00618010721132E-7	5,02433445727723E-6	8,76910447205199E-8	9,99908483229451E-6
3,38063373435358	1,08554338743095E-7	6,21969765473572E-6	2,0184543164939E-7	4,99440930376886E-6	8,71687535832712E-8	1,00513475954042E-5
3,42291457647099	1,08138023702754E-7	6,19584463057476E-6	2,0307119558238E-7	4,9646767584556E-6	8,66498240948665E-8	1,01033651421784E-5
3,46572421577573	1,07725272089017E-7	6,17219577643461E-6	2,04295403980539E-7	4,9351356679058E-6	8,61342361248623E-8	1,01551415536694E-5
3,50906926581786	1,07316060890442E-7	6,14874977349647E-6	2,05518156740625E-7	4,90578488599532E-6	8,56219696687781E-8	1,02066808147331E-5
3,55295642286165	1,06910367182757E-7	6,12550530830574E-6	2,06739552260394E-7	4,87662327385575E-6	8,5113004850347E-8	1,02579868174348E-5
3,59739246692004	1,06508168128279E-7	6,10246107273133E-6	2,07959687500424E-7	4,84764969983281E-6	8,46073219187761E-8	1,03090633643056E-5
3,64238426280214	1,06109440982775E-7	6,07961576326959E-6	2,09178658043394E-7	4,81886303944102E-6	8,41049012479695E-8	1,03599141714581E-5
3,6879387611737	1,0571416308758E-7	6,05696808168486E-6	2,10396558150875E-7	4,79026217531654E-6	8,36057233368274E-8	1,0410542871569E-5
